date,state,district,pincode,total_enrolment,total_demo_updates,total_bio_updates,total_activity,enrolment_to_update_ratio,performance_score,anomaly_score
2025-03-01,Andhra Pradesh,Chittoor,517425,0.0,2141.0,1662.0,3803.0,0.0,10.023131712109377,-0.1345501647149775
2025-03-01,Andhra Pradesh,Chittoor,517432,0.0,603.0,601.0,1204.0,0.0,3.2202580296747123,-0.04594937061602522
2025-03-01,Andhra Pradesh,Chittoor,517432,0.0,603.0,601.0,1204.0,0.0,3.2202580296747123,-0.04594937061602522
2025-03-01,Andhra Pradesh,Chittoor,517501,0.0,1492.0,2186.0,3678.0,0.0,10.057245206726172,-0.13178587940167108
2025-03-01,Andhra Pradesh,Chittoor,517501,0.0,1492.0,2186.0,3678.0,0.0,10.057245206726172,-0.13178587940167108
2025-03-01,Andhra Pradesh,Chittoor,517507,0.0,404.0,608.0,1012.0,0.0,2.7713449503610708,-0.03662633722026998
2025-03-01,Andhra Pradesh,Chittoor,517507,0.0,404.0,608.0,1012.0,0.0,2.7713449503610708,-0.03662633722026998
2025-03-01,Andhra Pradesh,Chittoor,517590,0.0,497.0,420.0,917.0,0.0,2.428926727428725,-0.014739711623587226
2025-03-01,Andhra Pradesh,Cuddapah,516001,0.0,642.0,902.0,1544.0,0.0,4.2121201617451005,-0.08409444813401079
2025-03-01,Andhra Pradesh,Cuddapah,516001,0.0,642.0,902.0,1544.0,0.0,4.2121201617451005,-0.08409444813401079
2025-03-01,Andhra Pradesh,Cuddapah,516002,0.0,491.0,727.0,1218.0,0.0,3.3324799034103534,-0.05710319995058444
2025-03-01,Andhra Pradesh,Cuddapah,516003,0.0,536.0,727.0,1263.0,0.0,3.4387247387308584,-0.05810666507266826
2025-03-01,Andhra Pradesh,Cuddapah,516003,0.0,536.0,727.0,1263.0,0.0,3.4387247387308584,-0.05810666507266826
2025-03-01,Andhra Pradesh,Cuddapah,516101,0.0,658.0,520.0,1178.0,0.0,3.1079784587711963,-0.04402727455145372
2025-03-01,Andhra Pradesh,Cuddapah,516193,0.0,503.0,469.0,972.0,0.0,2.589569052530722,-0.021389384066967665
2025-03-01,Andhra Pradesh,Cuddapah,516193,0.0,503.0,469.0,972.0,0.0,2.589569052530722,-0.021389384066967665
2025-03-01,Andhra Pradesh,Cuddapah,516227,0.0,578.0,785.0,1363.0,0.0,3.7112667509368804,-0.06924692653919384
2025-03-01,Andhra Pradesh,Cuddapah,516227,0.0,578.0,785.0,1363.0,0.0,3.7112667509368804,-0.06924692653919384
2025-03-01,Andhra Pradesh,Cuddapah,516269,0.0,736.0,428.0,1164.0,0.0,3.017119358439959,-0.03911843773610124
2025-03-01,Andhra Pradesh,Cuddapah,516360,0.0,983.0,897.0,1880.0,0.0,5.002273347814028,-0.09350542935127093
2025-03-01,Andhra Pradesh,Cuddapah,516390,0.0,504.0,453.0,957.0,0.0,2.5441010375865205,-0.019007267142384654
2025-03-01,Andhra Pradesh,Cuddapah,516434,0.0,580.0,441.0,1021.0,0.0,2.687665000997658,-0.026658493911945857
2025-03-01,Andhra Pradesh,East Godavari,507129,0.0,379.0,451.0,830.0,0.0,2.242997868618979,-0.008621161292722501
2025-03-01,Andhra Pradesh,East Godavari,507129,0.0,379.0,451.0,830.0,0.0,2.242997868618979,-0.008621161292722501
2025-03-01,Andhra Pradesh,East Godavari,533001,0.0,559.0,435.0,994.0,0.0,2.6201481986163424,-0.024737915155817136
2025-03-01,Andhra Pradesh,East Godavari,533005,0.0,603.0,527.0,1130.0,0.0,2.9990488524831713,-0.03968045459482805
2025-03-01,Andhra Pradesh,East Godavari,533107,0.0,599.0,295.0,894.0,0.0,2.296084203493818,-0.00749537118259036
2025-03-01,Andhra Pradesh,East Godavari,533107,0.0,599.0,295.0,894.0,0.0,2.296084203493818,-0.00749537118259036
2025-03-01,Andhra Pradesh,East Godavari,533125,0.0,371.0,420.0,791.0,0.0,2.1314411885313103,-0.0025561914361130755
2025-03-01,Andhra Pradesh,East Godavari,533125,0.0,371.0,420.0,791.0,0.0,2.1314411885313103,-0.0025561914361130755
2025-03-01,Andhra Pradesh,East Godavari,533126,0.0,683.0,597.0,1280.0,0.0,3.397180484090001,-0.05232379119658692
2025-03-01,Andhra Pradesh,East Godavari,533126,0.0,683.0,597.0,1280.0,0.0,3.397180484090001,-0.05232379119658692
2025-03-01,Andhra Pradesh,East Godavari,533201,0.0,403.0,432.0,835.0,0.0,2.2428648298893847,-0.005348780359744731
2025-03-01,Andhra Pradesh,East Godavari,533212,0.0,534.0,615.0,1149.0,0.0,3.099199667057346,-0.04644338436257811
2025-03-01,Andhra Pradesh,East Godavari,533212,0.0,534.0,615.0,1149.0,0.0,3.099199667057346,-0.04644338436257811
2025-03-01,Andhra Pradesh,East Godavari,533216,0.0,511.0,563.0,1074.0,0.0,2.88945246455173,-0.0401702254434092
2025-03-01,Andhra Pradesh,East Godavari,533222,0.0,592.0,514.0,1106.0,0.0,2.9342168210693758,-0.03626132140352878
2025-03-01,Andhra Pradesh,East Godavari,533289,0.0,467.0,434.0,901.0,0.0,2.3999472220891294,-0.016633195140977497
2025-03-01,Andhra Pradesh,East Godavari,533289,0.0,467.0,434.0,901.0,0.0,2.3999472220891294,-0.016633195140977497
2025-03-01,Andhra Pradesh,East Godavari,533294,0.0,567.0,279.0,846.0,0.0,2.172703309314579,-0.0056265843378240366
2025-03-01,Andhra Pradesh,East Godavari,533342,0.0,358.0,523.0,881.0,0.0,2.408647496250368,-0.014565619307582711
2025-03-01,Andhra Pradesh,East Godavari,533406,0.0,612.0,243.0,855.0,0.0,2.171332869244605,-0.0027639416756399804
2025-03-01,Andhra Pradesh,East Godavari,533431,0.0,560.0,293.0,853.0,0.0,2.198026719805464,-0.00749537118259036
2025-03-01,Andhra Pradesh,East Godavari,533435,0.0,782.0,366.0,1148.0,0.0,2.9403877713728725,-0.035136253426207964
2025-03-01,Andhra Pradesh,East Godavari,533436,0.0,549.0,371.0,920.0,0.0,2.405222190073157,-0.017030397412428844
2025-03-01,Andhra Pradesh,East Godavari,533436,0.0,549.0,371.0,920.0,0.0,2.405222190073157,-0.017030397412428844
2025-03-01,Andhra Pradesh,East Godavari,533437,0.0,970.0,618.0,1588.0,0.0,4.137562011111893,-0.0658977028953237
2025-03-01,Andhra Pradesh,East Godavari,533437,0.0,970.0,618.0,1588.0,0.0,4.137562011111893,-0.0658977028953237
2025-03-01,Andhra Pradesh,East Godavari,533449,0.0,638.0,227.0,865.0,0.0,2.184889762811795,-0.005557375679233867
2025-03-01,Andhra Pradesh,East Godavari,533450,0.0,715.0,409.0,1124.0,0.0,2.9107414843898596,-0.02996038119016886
2025-03-01,Andhra Pradesh,East Godavari,533450,0.0,715.0,409.0,1124.0,0.0,2.9107414843898596,-0.02996038119016886
2025-03-01,Andhra Pradesh,Guntur,522001,0.0,1180.0,812.0,1992.0,0.0,5.213298004434054,-0.09878471817071621
2025-03-01,Andhra Pradesh,Guntur,522002,0.0,820.0,571.0,1391.0,0.0,3.642914839394861,-0.058326038330443364
2025-03-01,Andhra Pradesh,Guntur,522003,0.0,751.0,630.0,1381.0,0.0,3.656375571015593,-0.060841393207954675
2025-03-01,Andhra Pradesh,Guntur,522003,0.0,751.0,630.0,1381.0,0.0,3.656375571015593,-0.060841393207954675
2025-03-01,Andhra Pradesh,Guntur,522004,0.0,804.0,632.0,1436.0,0.0,3.787487003470326,-0.06134548610251933
2025-03-01,Andhra Pradesh,Guntur,522005,0.0,450.0,450.0,900.0,0.0,2.4076392955860406,-0.015212602196948644
2025-03-01,Andhra Pradesh,Guntur,522006,0.0,810.0,343.0,1153.0,0.0,2.9377414651839366,-0.034649887342265706
2025-03-01,Andhra Pradesh,Guntur,522017,0.0,435.0,377.0,812.0,0.0,2.1540044864929566,-0.002480819162255621
2025-03-01,Andhra Pradesh,Guntur,522101,0.0,672.0,589.0,1261.0,0.0,3.347295018702661,-0.05232379119658692
2025-03-01,Andhra Pradesh,Guntur,522124,0.0,743.0,572.0,1315.0,0.0,3.464107434385065,-0.05782398766197139
2025-03-01,Andhra Pradesh,Guntur,522124,0.0,743.0,572.0,1315.0,0.0,3.464107434385065,-0.05782398766197139
2025-03-01,Andhra Pradesh,Guntur,522201,0.0,1025.0,510.0,1535.0,0.0,3.9445709836655176,-0.06096911872380839
2025-03-01,Andhra Pradesh,Guntur,522201,0.0,1025.0,510.0,1535.0,0.0,3.9445709836655176,-0.06096911872380839
2025-03-01,Andhra Pradesh,Guntur,522212,0.0,708.0,554.0,1262.0,0.0,3.3276649247738765,-0.049961887780292535
2025-03-01,Andhra Pradesh,Guntur,522212,0.0,708.0,554.0,1262.0,0.0,3.3276649247738765,-0.049961887780292535
2025-03-01,Andhra Pradesh,Guntur,522265,0.0,718.0,481.0,1199.0,0.0,3.1330550241921844,-0.038219275015261456
2025-03-01,Andhra Pradesh,Guntur,522403,0.0,1089.0,937.0,2026.0,0.0,5.372111488113973,-0.10463198767197324
2025-03-01,Andhra Pradesh,Guntur,522410,0.0,574.0,762.0,1336.0,0.0,3.6330685618533622,-0.06670318436078937
2025-03-01,Andhra Pradesh,Guntur,522410,0.0,574.0,762.0,1336.0,0.0,3.6330685618533622,-0.06670318436078937
2025-03-01,Andhra Pradesh,Guntur,522413,0.0,682.0,806.0,1488.0,0.0,4.019585947655383,-0.07582480859073815
2025-03-01,Andhra Pradesh,Guntur,522413,0.0,682.0,806.0,1488.0,0.0,4.019585947655383,-0.07582480859073815
2025-03-01,Andhra Pradesh,Guntur,522414,0.0,505.0,729.0,1234.0,0.0,3.371512478587315,-0.05710319995058444
2025-03-01,Andhra Pradesh,Guntur,522421,0.0,446.0,427.0,873.0,0.0,2.329441106502523,-0.01190907732167712
2025-03-01,Andhra Pradesh,Guntur,522501,0.0,804.0,521.0,1325.0,0.0,3.4556732376830155,-0.049961887780292535
2025-03-01,Andhra Pradesh,Guntur,522501,0.0,804.0,521.0,1325.0,0.0,3.4556732376830155,-0.049961887780292535
2025-03-01,Andhra Pradesh,Guntur,522503,0.0,1184.0,1041.0,2225.0,0.0,5.907294713807534,-0.11575777929495679
2025-03-01,Andhra Pradesh,Guntur,522503,0.0,1184.0,1041.0,2225.0,0.0,5.907294713807534,-0.11575777929495679
2025-03-01,Andhra Pradesh,Guntur,522509,0.0,491.0,453.0,944.0,0.0,2.5134080851605964,-0.019007267142384654
2025-03-01,Andhra Pradesh,Guntur,522601,0.0,1148.0,1243.0,2391.0,0.0,6.42614011301993,-0.12136646781551552
2025-03-01,Andhra Pradesh,Guntur,522612,0.0,461.0,355.0,816.0,0.0,2.1496255008284,-0.004091729369756103
2025-03-01,Andhra Pradesh,Guntur,522613,0.0,604.0,390.0,994.0,0.0,2.591873939698749,-0.020287547756900892
2025-03-01,Andhra Pradesh,Guntur,522614,0.0,473.0,479.0,952.0,0.0,2.5486322943699626,-0.026177861824082993
2025-03-01,Andhra Pradesh,Guntur,522615,0.0,738.0,677.0,1415.0,0.0,3.7661803392383506,-0.06094591019160689
2025-03-01,Andhra Pradesh,Guntur,522615,0.0,738.0,677.0,1415.0,0.0,3.7661803392383506,-0.06094591019160689
2025-03-01,Andhra Pradesh,Guntur,522616,0.0,623.0,548.0,1171.0,0.0,3.109044356603398,-0.04451998739407581
2025-03-01,Andhra Pradesh,Guntur,522616,0.0,623.0,548.0,1171.0,0.0,3.109044356603398,-0.04451998739407581
2025-03-01,Andhra Pradesh,Guntur,522647,0.0,854.0,935.0,1789.0,0.0,4.811298721696308,-0.09035569234887919
2025-03-01,Andhra Pradesh,Hyderabad,500008,0.0,302.0,496.0,798.0,0.0,2.195720244641991,-0.0028496636485845217
2025-03-01,Andhra Pradesh,Hyderabad,500008,0.0,302.0,496.0,798.0,0.0,2.195720244641991,-0.0028496636485845217
2025-03-01,Andhra Pradesh,Hyderabad,500053,0.0,414.0,681.0,1095.0,0.0,3.0131747777518774,-0.04112930959299088
2025-03-01,Andhra Pradesh,Hyderabad,500053,0.0,414.0,681.0,1095.0,0.0,3.0131747777518774,-0.04112930959299088
2025-03-01,Andhra Pradesh,Krishna,520001,0.0,717.0,828.0,1545.0,0.0,4.167985710087735,-0.07736855464616699
2025-03-01,Andhra Pradesh,Krishna,520001,0.0,717.0,828.0,1545.0,0.0,4.167985710087735,-0.07736855464616699
2025-03-01,Andhra Pradesh,Krishna,520013,0.0,448.0,528.0,976.0,0.0,2.6360837329178337,-0.030921008292233987
2025-03-01,Andhra Pradesh,Krishna,520013,0.0,448.0,528.0,976.0,0.0,2.6360837329178337,-0.030921008292233987
2025-03-01,Andhra Pradesh,Krishna,520015,0.0,614.0,851.0,1465.0,0.0,3.993557290742496,-0.07788383337565241
2025-03-01,Andhra Pradesh,Krishna,521001,0.0,1072.0,1060.0,2132.0,0.0,5.6996600745770305,-0.11413619139421327
2025-03-01,Andhra Pradesh,Krishna,521101,0.0,394.0,448.0,842.0,0.0,2.269444874109941,-0.008621161292722501
2025-03-01,Andhra Pradesh,Krishna,521151,0.0,521.0,353.0,874.0,0.0,2.285306654845158,-0.007826037272621544
2025-03-01,Andhra Pradesh,Krishna,521175,0.0,587.0,454.0,1041.0,0.0,2.7430530470496315,-0.03003203924236153
2025-03-01,Andhra Pradesh,Krishna,521185,0.0,728.0,549.0,1277.0,0.0,3.3599382855565345,-0.04946549426762703
2025-03-01,Andhra Pradesh,Krishna,521185,0.0,728.0,549.0,1277.0,0.0,3.3599382855565345,-0.04946549426762703
2025-03-01,Andhra Pradesh,Krishna,521227,0.0,626.0,401.0,1027.0,0.0,2.676698304446976,-0.022196065969677048
2025-03-01,Andhra Pradesh,Krishna,521227,0.0,626.0,401.0,1027.0,0.0,2.676698304446976,-0.022196065969677048
2025-03-01,Andhra Pradesh,Krishna,521230,0.0,539.0,739.0,1278.0,0.0,3.4816794862157185,-0.05810666507266826
2025-03-01,Andhra Pradesh,Krishna,521230,0.0,539.0,739.0,1278.0,0.0,3.4816794862157185,-0.05810666507266826
2025-03-01,Andhra Pradesh,Krishna,521301,0.0,902.0,745.0,1647.0,0.0,4.356657037032875,-0.07684144305475327
2025-03-01,Andhra Pradesh,Krishna,521324,0.0,443.0,664.0,1107.0,0.0,3.0308253471351425,-0.0440788050468226
2025-03-01,Andhra Pradesh,Krishna,521366,0.0,523.0,585.0,1108.0,0.0,2.983549311153601,-0.04299229696013074
2025-03-01,Andhra Pradesh,Kurnool,518001,0.0,898.0,1188.0,2086.0,0.0,5.671478801615002,-0.10785796105941203
2025-03-01,Andhra Pradesh,Kurnool,518002,0.0,1279.0,1445.0,2724.0,0.0,7.339271901088422,-0.1262852840117754
2025-03-01,Andhra Pradesh,Kurnool,518003,0.0,1122.0,1011.0,2133.0,0.0,5.67123354454055,-0.11090287320865178
2025-03-01,Andhra Pradesh,Kurnool,518003,0.0,1122.0,1011.0,2133.0,0.0,5.67123354454055,-0.11090287320865178
2025-03-01,Andhra Pradesh,Kurnool,518004,0.0,569.0,638.0,1207.0,0.0,3.2505887426949895,-0.04941449624446026
2025-03-01,Andhra Pradesh,Kurnool,518004,0.0,569.0,638.0,1207.0,0.0,3.2505887426949895,-0.04941449624446026
2025-03-01,Andhra Pradesh,Kurnool,518124,0.0,363.0,586.0,949.0,0.0,2.6087792098859843,-0.02790386007766188
2025-03-01,Andhra Pradesh,Kurnool,518222,0.0,763.0,602.0,1365.0,0.0,3.6010067573529114,-0.05782398766197139
2025-03-01,Andhra Pradesh,Kurnool,518222,0.0,763.0,602.0,1365.0,0.0,3.6010067573529114,-0.05782398766197139
2025-03-01,Andhra Pradesh,Kurnool,518225,0.0,501.0,610.0,1111.0,0.0,3.0063402217958535,-0.04446933325191704
2025-03-01,Andhra Pradesh,Kurnool,518301,0.0,1107.0,1133.0,2240.0,0.0,6.000514810479228,-0.1186467066931225
2025-03-01,Andhra Pradesh,Kurnool,518302,0.0,667.0,833.0,1500.0,0.0,4.0648824590914066,-0.07839946085364069
2025-03-01,Andhra Pradesh,Kurnool,518308,0.0,375.0,479.0,854.0,0.0,2.3172546530053064,-0.015685812829862256
2025-03-01,Andhra Pradesh,Kurnool,518313,0.0,1069.0,1374.0,2443.0,0.0,6.631221432017063,-0.12354891098506904
2025-03-01,Andhra Pradesh,Kurnool,518323,0.0,577.0,769.0,1346.0,0.0,3.6610767433117664,-0.06670318436078937
2025-03-01,Andhra Pradesh,Kurnool,518323,0.0,577.0,769.0,1346.0,0.0,3.6610767433117664,-0.06670318436078937
2025-03-01,Andhra Pradesh,Kurnool,518344,0.0,740.0,860.0,1600.0,0.0,4.31794664848753,-0.08409444813401079
2025-03-01,Andhra Pradesh,Kurnool,518344,0.0,740.0,860.0,1600.0,0.0,4.31794664848753,-0.08409444813401079
2025-03-01,Andhra Pradesh,Kurnool,518346,0.0,416.0,497.0,913.0,0.0,2.4678631406592286,-0.022745577975323172
2025-03-01,Andhra Pradesh,Kurnool,518347,0.0,660.0,1017.0,1677.0,0.0,4.598389114481777,-0.09177497705192539
2025-03-01,Andhra Pradesh,Kurnool,518348,0.0,351.0,487.0,838.0,0.0,2.2845052464766993,-0.006652419073675198
2025-03-01,Andhra Pradesh,Kurnool,518350,0.0,466.0,569.0,1035.0,0.0,2.80114350846297,-0.039191015006424856
2025-03-01,Andhra Pradesh,Kurnool,518380,0.0,708.0,783.0,1491.0,0.0,4.012217648785535,-0.07479738397610947
2025-03-01,Andhra Pradesh,Kurnool,518380,0.0,708.0,783.0,1491.0,0.0,4.012217648785535,-0.07479738397610947
2025-03-01,Andhra Pradesh,Kurnool,518385,0.0,370.0,429.0,799.0,0.0,2.155984011038474,-0.0025561914361130755
2025-03-01,Andhra Pradesh,Kurnool,518385,0.0,370.0,429.0,799.0,0.0,2.155984011038474,-0.0025561914361130755
2025-03-01,Andhra Pradesh,Kurnool,518390,0.0,449.0,596.0,1045.0,0.0,2.8417180272180835,-0.0390681591854416
2025-03-01,Andhra Pradesh,Kurnool,518395,0.0,686.0,983.0,1669.0,0.0,4.558138370353728,-0.09020201908834513
2025-03-01,Andhra Pradesh,Kurnool,518401,0.0,504.0,457.0,961.0,0.0,2.5560582904076847,-0.020912315780972857
2025-03-01,Andhra Pradesh,Kurnool,518422,0.0,682.0,862.0,1544.0,0.0,4.186987487151683,-0.08305584083724715
2025-03-01,Andhra Pradesh,Kurnool,518463,0.0,609.0,724.0,1333.0,0.0,3.60210953196825,-0.06256416903913298
2025-03-01,Andhra Pradesh,Kurnool,518463,0.0,609.0,724.0,1333.0,0.0,3.60210953196825,-0.06256416903913298
2025-03-01,Andhra Pradesh,Kurnool,518464,0.0,466.0,508.0,974.0,0.0,2.618795402940214,-0.029954305178556573
2025-03-01,Andhra Pradesh,Kurnool,518465,0.0,562.0,708.0,1270.0,0.0,3.4433136926821755,-0.058608907061523
2025-03-01,Andhra Pradesh,Kurnool,518467,0.0,377.0,442.0,819.0,0.0,2.211372057090448,-0.005815315007603572
2025-03-01,Andhra Pradesh,Kurnool,518501,0.0,731.0,1386.0,2117.0,0.0,5.869076427406538,-0.10518382108094793
2025-03-01,Andhra Pradesh,Kurnool,518502,0.0,330.0,484.0,814.0,0.0,2.225956383711257,-0.00478591046411736
2025-03-01,Andhra Pradesh,Kurnool,518502,0.0,330.0,484.0,814.0,0.0,2.225956383711257,-0.00478591046411736
2025-03-01,Andhra Pradesh,Kurnool,518543,0.0,798.0,887.0,1685.0,0.0,4.5355958927768185,-0.08721871584194485
2025-03-01,Andhra Pradesh,Kurnool,518599,0.0,362.0,717.0,1079.0,0.0,2.9980182434386613,-0.04025041544702146
2025-03-01,Andhra Pradesh,Kurnool,518599,0.0,362.0,717.0,1079.0,0.0,2.9980182434386613,-0.04025041544702146
2025-03-01,Andhra Pradesh,Nellore,524002,0.0,932.0,758.0,1690.0,0.0,4.466347998915329,-0.0835749688087648
2025-03-01,Andhra Pradesh,Nellore,524002,0.0,932.0,758.0,1690.0,0.0,4.466347998915329,-0.0835749688087648
2025-03-01,Andhra Pradesh,Nellore,524004,0.0,893.0,533.0,1426.0,0.0,3.7016736704470636,-0.054444575214612434
2025-03-01,Andhra Pradesh,Nellore,524101,0.0,442.0,534.0,976.0,0.0,2.6398536341068466,-0.030921008292233987
2025-03-01,Andhra Pradesh,Nellore,524126,0.0,544.0,340.0,884.0,0.0,2.3007484990068545,-0.007027700216167165
2025-03-01,Andhra Pradesh,Nellore,524201,0.0,1445.0,560.0,2005.0,0.0,5.085655106921454,-0.07316407323722629
2025-03-01,Andhra Pradesh,Prakasam,523001,0.0,1165.0,1188.0,2353.0,0.0,6.301864824516666,-0.12245695109481403
2025-03-01,Andhra Pradesh,Prakasam,523001,0.0,1165.0,1188.0,2353.0,0.0,6.301864824516666,-0.12245695109481403
2025-03-01,Andhra Pradesh,Prakasam,523101,0.0,560.0,394.0,954.0,0.0,2.4999473535398637,-0.01750483835686789
2025-03-01,Andhra Pradesh,Prakasam,523105,0.0,683.0,347.0,1030.0,0.0,2.649852182767231,-0.01955626873986971
2025-03-01,Andhra Pradesh,Prakasam,523201,0.0,858.0,475.0,1333.0,0.0,3.445658632624232,-0.049961887780292535
2025-03-01,Andhra Pradesh,Prakasam,523226,0.0,558.0,354.0,912.0,0.0,2.375652832647309,-0.012522436136120918
2025-03-01,Andhra Pradesh,Prakasam,523230,0.0,511.0,328.0,839.0,0.0,2.186963861308324,-0.0005134223800559168
2025-03-01,Andhra Pradesh,Prakasam,523240,0.0,700.0,441.0,1141.0,0.0,2.970984561852339,-0.03383508772391797
2025-03-01,Andhra Pradesh,Prakasam,523301,0.0,668.0,471.0,1139.0,0.0,2.9851120751164895,-0.03773082370659975
2025-03-01,Andhra Pradesh,Prakasam,523301,0.0,668.0,471.0,1139.0,0.0,2.9851120751164895,-0.03773082370659975
2025-03-01,Andhra Pradesh,Prakasam,523326,0.0,560.0,349.0,909.0,0.0,2.365428259301765,-0.011580612629720766
2025-03-01,Andhra Pradesh,Prakasam,523327,0.0,587.0,474.0,1061.0,0.0,2.8028393111554544,-0.030515279896282
2025-03-01,Andhra Pradesh,Rangareddi,500018,0.0,460.0,706.0,1166.0,0.0,3.196513439545115,-0.05410093890652101
2025-03-01,Andhra Pradesh,Rangareddi,500018,0.0,460.0,706.0,1166.0,0.0,3.196513439545115,-0.05410093890652101
2025-03-01,Andhra Pradesh,Srikakulam,532001,0.0,837.0,696.0,1533.0,0.0,4.056715927843993,-0.06864989659880827
2025-03-01,Andhra Pradesh,Srikakulam,532001,0.0,837.0,696.0,1533.0,0.0,4.056715927843993,-0.06864989659880827
2025-03-01,Andhra Pradesh,Srikakulam,532127,0.0,890.0,655.0,1545.0,0.0,4.059286892471209,-0.06600292942422048
2025-03-01,Andhra Pradesh,Srikakulam,532127,0.0,890.0,655.0,1545.0,0.0,4.059286892471209,-0.06600292942422048
2025-03-01,Andhra Pradesh,Srikakulam,532148,0.0,403.0,442.0,845.0,0.0,2.2727579619422955,-0.008621161292722501
2025-03-01,Andhra Pradesh,Srikakulam,532168,0.0,1076.0,912.0,1988.0,0.0,5.266685705555773,-0.10303295954310432
2025-03-01,Andhra Pradesh,Srikakulam,532185,0.0,1187.0,902.0,2089.0,0.0,5.498863167293442,-0.10463198767197324
2025-03-01,Andhra Pradesh,Srikakulam,532185,0.0,1187.0,902.0,2089.0,0.0,5.498863167293442,-0.10463198767197324
2025-03-01,Andhra Pradesh,Srikakulam,532195,0.0,947.0,695.0,1642.0,0.0,4.313436212088825,-0.07273458527738019
2025-03-01,Andhra Pradesh,Srikakulam,532195,0.0,947.0,695.0,1642.0,0.0,4.313436212088825,-0.07273458527738019
