date,state,district,pincode,total_enrolment,total_demo_updates,total_bio_updates,total_activity,enrolment_to_update_ratio,performance_score
2025-03-20,Assam,Dhubri,783348,163.0,0.0,0.0,163.0,,2.4665825977301385
2025-03-20,Assam,Hojai,782446,89.0,0.0,0.0,89.0,,1.3467843631778058
2025-03-20,Assam,Kokrajhar,783350,102.0,0.0,0.0,102.0,,1.5435056746532156
2025-03-20,Assam,Kokrajhar,783360,136.0,0.0,0.0,136.0,,2.0580075662042874
2025-03-20,Assam,Lakhimpur,787031,101.0,0.0,0.0,101.0,,1.5283732660781841
2025-03-20,Assam,Marigaon,782104,88.0,0.0,0.0,88.0,,1.3316519546027743
2025-03-20,Assam,Marigaon,782105,161.0,0.0,0.0,161.0,,2.4363177805800755
2025-03-20,Assam,Sonitpur,784110,81.0,0.0,0.0,81.0,,1.2257250945775537
2025-03-20,Assam,Tinsukia,786156,65.0,0.0,0.0,65.0,,0.9836065573770493
2025-03-20,Assam,Tinsukia,786171,79.0,0.0,0.0,79.0,,1.1954602774274905
2025-03-20,Assam,Tinsukia,786174,95.0,0.0,0.0,95.0,,1.4375788146279949
2025-03-20,Assam,Udalguri,784509,90.0,0.0,0.0,90.0,,1.3619167717528373
2025-03-20,Bihar,Patna,800001,80.0,0.0,0.0,80.0,,1.210592686002522
2025-03-20,Bihar,Sitamarhi,843324,126.0,0.0,0.0,126.0,,1.906683480453972
2025-03-20,Gujarat,Banas Kantha,385001,111.0,0.0,0.0,111.0,,1.6796973518284992
2025-03-20,Gujarat,Banas Kantha,385310,123.0,0.0,0.0,123.0,,1.8612862547288773
2025-03-20,Gujarat,Banas Kantha,385330,83.0,0.0,0.0,83.0,,1.2559899117276165
2025-03-20,Gujarat,Patan,384265,143.0,0.0,0.0,143.0,,2.1639344262295084
2025-03-20,Gujarat,Vadodara,390019,89.0,0.0,0.0,89.0,,1.3467843631778058
2025-03-20,Karnataka,Bengaluru Urban,560043,93.0,0.0,0.0,93.0,,1.4073139974779318
2025-03-20,Karnataka,Bengaluru Urban,560068,92.0,0.0,0.0,92.0,,1.3921815889029003
2025-03-20,Madhya Pradesh,Gwalior,474001,116.0,0.0,0.0,116.0,,1.755359394703657
2025-03-20,Maharashtra,Aurangabad,431001,190.0,0.0,0.0,190.0,,2.8751576292559897
2025-03-20,Meghalaya,West Jaintia Hills,793150,160.0,0.0,0.0,160.0,,2.421185372005044
2025-03-20,Meghalaya,West Khasi Hills,793119,241.0,0.0,0.0,241.0,,3.646910466582597
2025-03-20,Punjab,Ludhiana,141007,131.0,0.0,0.0,131.0,,1.9823455233291296
2025-03-20,Uttar Pradesh,Agra,282001,232.0,0.0,0.0,232.0,,3.510718789407314
2025-03-20,Uttar Pradesh,Agra,283125,66.0,0.0,0.0,66.0,,0.9987389659520807
2025-03-20,Uttar Pradesh,Aligarh,202001,361.0,0.0,0.0,361.0,,5.46279949558638
2025-03-20,Uttar Pradesh,Bahraich,271855,95.0,0.0,0.0,95.0,,1.4375788146279949
2025-03-20,Uttar Pradesh,Bahraich,271865,80.0,0.0,0.0,80.0,,1.210592686002522
2025-03-20,Uttar Pradesh,Firozabad,283203,127.0,0.0,0.0,127.0,,1.9218158890290038
2025-03-20,Uttar Pradesh,Gautam Buddha Nagar,201301,319.0,0.0,0.0,319.0,,4.827238335435056
2025-03-20,Uttar Pradesh,Jaunpur,222001,151.0,0.0,0.0,151.0,,2.2849936948297604
2025-03-20,Uttar Pradesh,Unnao,209821,73.0,0.0,0.0,73.0,,1.1046658259773015
2025-03-20,Uttarakhand,Dehradun,248001,176.0,0.0,0.0,176.0,,2.6633039092055486
2025-03-20,Uttarakhand,Nainital,263139,75.0,0.0,0.0,75.0,,1.1349306431273642
2025-03-23,Bihar,Sitamarhi,843324,85.0,0.0,0.0,85.0,,1.2862547288776798
2025-03-23,Meghalaya,East Khasi Hills,793015,137.0,0.0,0.0,137.0,,2.073139974779319
2025-03-23,Meghalaya,West Khasi Hills,793119,103.0,0.0,0.0,103.0,,1.5586380832282472
2025-03-23,Uttar Pradesh,Bahraich,271865,96.0,0.0,0.0,96.0,,1.4527112232030266
2025-03-23,Uttar Pradesh,Jaunpur,222001,108.0,0.0,0.0,108.0,,1.6343001261034047
2025-03-26,Meghalaya,West Jaintia Hills,793150,211.0,0.0,0.0,211.0,,3.192938209331652
2025-03-27,Bihar,Madhubani,847108,86.0,0.0,0.0,86.0,,1.3013871374527113
2025-03-27,Bihar,Muzaffarpur,842002,74.0,0.0,0.0,74.0,,1.119798234552333
2025-03-27,Bihar,Pashchim Champaran,845307,126.0,0.0,0.0,126.0,,1.906683480453972
2025-03-27,Bihar,Sitamarhi,843317,78.0,0.0,0.0,78.0,,1.180327868852459
2025-03-27,Bihar,Sitamarhi,843324,120.0,0.0,0.0,120.0,,1.815889029003783
2025-03-27,Bihar,Sitamarhi,843330,83.0,0.0,0.0,83.0,,1.2559899117276165
2025-03-27,Chhattisgarh,Bijapur,494444,100.0,0.0,0.0,100.0,,1.5132408575031526
2025-03-27,Chhattisgarh,Raipur,492001,100.0,0.0,0.0,100.0,,1.5132408575031526
2025-03-27,Gujarat,Banas Kantha,385001,68.0,0.0,0.0,68.0,,1.0290037831021437
2025-03-27,Gujarat,Banas Kantha,385120,69.0,0.0,0.0,69.0,,1.0441361916771754
2025-03-27,Gujarat,Banas Kantha,385320,85.0,0.0,0.0,85.0,,1.2862547288776798
2025-03-27,Gujarat,Banas Kantha,385535,142.0,0.0,0.0,142.0,,2.1488020176544764
2025-03-27,Gujarat,Morbi,363641,71.0,0.0,0.0,71.0,,1.0744010088272382
2025-03-27,Madhya Pradesh,Gwalior,475110,94.0,0.0,0.0,94.0,,1.4224464060529634
2025-03-27,Uttar Pradesh,Agra,282001,95.0,0.0,0.0,95.0,,1.4375788146279949
2025-03-27,Uttar Pradesh,Agra,282006,66.0,0.0,0.0,66.0,,0.9987389659520807
2025-03-27,Uttar Pradesh,Aligarh,202001,156.0,0.0,0.0,156.0,,2.360655737704918
2025-03-27,Uttar Pradesh,Banda,210001,66.0,0.0,0.0,66.0,,0.9987389659520807
2025-03-27,Uttar Pradesh,Jaunpur,222001,75.0,0.0,0.0,75.0,,1.1349306431273642
2025-03-27,Uttar Pradesh,Kanpur Nagar,208001,85.0,0.0,0.0,85.0,,1.2862547288776798
2025-03-27,Uttar Pradesh,Maharajganj,273164,89.0,0.0,0.0,89.0,,1.3467843631778058
2025-03-27,Uttar Pradesh,Mathura,281204,71.0,0.0,0.0,71.0,,1.0744010088272382
2025-03-28,Meghalaya,West Khasi Hills,793119,137.0,0.0,0.0,137.0,,2.073139974779319
2025-03-29,Meghalaya,Ri Bhoi,793105,67.0,0.0,0.0,67.0,,1.0138713745271122
2025-04-01,Assam,Baksa,781315,164.0,0.0,768.0,932.0,0.21354166666666666,4.777507547968724
2025-04-01,Assam,Baksa,781344,76.0,0.0,151.0,227.0,0.5033112582781457,1.6014493457013497
2025-04-01,Assam,Baksa,781360,349.0,0.0,321.0,670.0,1.087227414330218,6.24078013158444
2025-04-01,Assam,Baksa,781367,246.0,0.0,150.0,396.0,1.64,4.170969490251418
2025-04-01,Assam,Baksa,781368,147.0,0.0,196.0,343.0,0.75,2.8103694487666866
2025-04-01,Assam,Baksa,781372,96.0,0.0,331.0,427.0,0.29003021148036257,2.4421738941543754
2025-04-01,Assam,Barpeta,781313,124.0,0.0,414.0,538.0,0.2995169082125604,3.1139943302944184
2025-04-01,Assam,Barpeta,781325,91.0,0.0,620.0,711.0,0.14677419354838708,3.230423367608341
2025-04-01,Assam,Biswanath,784174,87.0,0.0,236.0,323.0,0.3686440677966102,2.0219974624764387
2025-04-01,Assam,Biswanath,784176,163.0,0.0,318.0,481.0,0.5125786163522013,3.417184197012703
2025-04-01,Assam,Bongaigaon,783380,130.0,1335.0,583.0,2048.0,0.06777893639207508,6.8619128279471235
2025-04-01,Assam,Bongaigaon,783380,130.0,1335.0,583.0,2048.0,0.06777893639207508,6.8619128279471235
2025-04-01,Assam,Bongaigaon,783384,203.0,1685.0,1683.0,3571.0,0.06027315914489311,12.081171898904103
2025-04-01,Assam,Cachar,788002,119.0,0.0,378.0,497.0,0.3148148148148148,2.9307170120287815
2025-04-01,Assam,Cachar,788003,95.0,0.0,506.0,601.0,0.18774703557312253,2.9501712965052835
2025-04-01,Assam,Cachar,788005,126.0,0.0,687.0,813.0,0.18340611353711792,3.960341652488947
2025-04-01,Assam,Cachar,788007,65.0,0.0,350.0,415.0,0.18571428571428572,2.0298661792289288
2025-04-01,Assam,Cachar,788009,88.0,0.0,417.0,505.0,0.21103117505995203,2.5781955612091565
2025-04-01,Assam,Cachar,788030,202.0,0.0,415.0,617.0,0.4867469879518072,4.297311512352168
2025-04-01,Assam,Cachar,788099,129.0,0.0,609.0,738.0,0.21182266009852216,3.7725724482013376
2025-04-01,Assam,Cachar,788101,137.0,0.0,526.0,663.0,0.26045627376425856,3.6455187207624293
2025-04-01,Assam,Cachar,788114,139.0,0.0,260.0,399.0,0.5346153846153846,2.880626225305064
2025-04-01,Assam,Cachar,788116,146.0,0.0,408.0,554.0,0.35784313725490197,3.428971439713366
2025-04-01,Assam,Cachar,788117,87.0,0.0,164.0,251.0,0.5304878048780488,1.8067669116954805
2025-04-01,Assam,Cachar,788119,141.0,0.0,559.0,700.0,0.2522361359570662,3.8046956908371605
2025-04-01,Assam,Cachar,788120,176.0,0.0,574.0,750.0,0.30662020905923343,4.379169689042631
2025-04-01,Assam,Charaideo,785689,90.0,0.0,118.0,208.0,0.7627118644067796,1.7146557299771854
2025-04-01,Assam,Charaideo,785690,104.0,0.0,94.0,198.0,1.1063829787234043,1.8547659331006408
2025-04-01,Assam,Charaideo,785692,111.0,0.0,104.0,215.0,1.0673076923076923,1.990585925178772
2025-04-01,Assam,Chirang,783373,96.0,0.0,190.0,286.0,0.5052631578947369,2.0206807322083327
2025-04-01,Assam,Chirang,783375,234.0,0.0,199.0,433.0,1.1758793969849246,4.135856934410302
2025-04-01,Assam,Chirang,783393,153.0,0.0,443.0,596.0,0.345372460496614,3.639524261923774
2025-04-01,Assam,Chirang,783394,84.0,0.0,178.0,262.0,0.47191011235955055,1.8032200708444615
2025-04-01,Assam,Darrang,784115,297.0,0.0,588.0,885.0,0.5051020408163265,6.252041511495521
2025-04-01,Assam,Darrang,784116,250.0,0.0,619.0,869.0,0.40387722132471726,5.633487017833063
2025-04-01,Assam,Darrang,784125,237.0,0.0,578.0,815.0,0.4100346020761246,5.314203864940718
2025-04-01,Assam,Darrang,784146,173.0,0.0,325.0,498.0,0.5323076923076923,3.5894334752000567
2025-04-01,Assam,Darrang,784190,193.0,0.0,543.0,736.0,0.35543278084714547,4.543751925454142
2025-04-01,Assam,Darrang,784514,114.0,0.0,194.0,308.0,0.5876288659793815,2.3050213393800645
2025-04-01,Assam,Dhemaji,787057,156.0,0.0,253.0,409.0,0.616600790513834,3.1169519786435624
2025-04-01,Assam,Dhemaji,787060,251.0,0.0,448.0,699.0,0.5602678571428571,5.13744686830332
2025-04-01,Assam,Dhubri,783330,283.0,0.0,951.0,1234.0,0.29758149316508936,7.1253084849657435
2025-04-01,Assam,Dhubri,783334,325.0,0.0,1109.0,1434.0,0.29305680793507666,8.233181131553058
2025-04-01,Assam,Dhubri,783337,112.0,0.0,406.0,518.0,0.27586206896551724,2.9084909217517114
2025-04-01,Assam,Dhubri,783348,766.0,0.0,1664.0,2430.0,0.46033653846153844,16.565642142078513
2025-04-01,Assam,Dhubri,783349,246.0,0.0,349.0,595.0,0.7048710601719198,4.7658428181043435
2025-04-01,Assam,Dibrugarh,785675,76.0,0.0,241.0,317.0,0.3153526970954357,1.870487534177547
2025-04-01,Assam,Dibrugarh,786001,109.0,0.0,594.0,703.0,0.1835016835016835,3.42508457862134
2025-04-01,Assam,Dibrugarh,786602,83.0,0.0,264.0,347.0,0.3143939393939394,2.0451685979244627
2025-04-01,Assam,Goalpara,783101,297.0,0.0,698.0,995.0,0.42550143266475643,6.58086596407754
2025-04-01,Assam,Goalpara,783120,115.0,0.0,189.0,304.0,0.6084656084656085,2.3052071819286404
2025-04-01,Assam,Goalpara,783129,481.0,0.0,1078.0,1559.0,0.4461966604823748,10.501168159893954
2025-04-01,Assam,Goalpara,783132,184.0,0.0,355.0,539.0,0.5183098591549296,3.8455693656841357
2025-04-01,Assam,Goalpara,783330,87.0,0.0,344.0,431.0,0.25290697674418605,2.344843288647876
2025-04-01,Assam,Golaghat,785601,334.0,0.0,503.0,837.0,0.6640159045725647,6.557849006321945
2025-04-01,Assam,Golaghat,785603,158.0,0.0,0.0,158.0,,2.390920554854981
2025-04-01,Assam,Golaghat,785611,122.0,0.0,174.0,296.0,0.7011494252873564,2.366294343874495
2025-04-01,Assam,Golaghat,785612,148.0,0.0,125.0,273.0,1.184,2.6132606197660517
2025-04-01,Assam,Golaghat,785613,90.0,0.0,31.0,121.0,2.903225806451613,1.454585481116861
2025-04-01,Assam,Golaghat,785702,195.0,0.0,108.0,303.0,1.8055555555555556,3.2736654983025844
2025-04-01,Assam,Golaghat,785705,166.0,0.0,237.0,403.0,0.70042194092827,3.22044705310922
2025-04-01,Assam,Hailakandi,788152,75.0,0.0,82.0,157.0,0.9146341463414634,1.3800543259612335
2025-04-01,Assam,Hailakandi,788155,131.0,0.0,201.0,332.0,0.6517412935323383,2.5831974775926376
2025-04-01,Assam,Hailakandi,788163,193.0,0.0,272.0,465.0,0.7095588235294118,3.7336480468202593
2025-04-01,Assam,Hojai,782435,294.0,0.0,795.0,1089.0,0.36981132075471695,6.82543211926568
2025-04-01,Assam,Hojai,782439,115.0,0.0,337.0,452.0,0.34124629080118696,2.7476255363117206
2025-04-01,Assam,Hojai,782442,165.0,0.0,273.0,438.0,0.6043956043956044,3.3129299199246676
2025-04-01,Assam,Hojai,782446,428.0,0.0,1382.0,1810.0,0.3096960926193922,10.60790171982577
2025-04-01,Assam,Hojai,782447,114.0,0.0,231.0,345.0,0.4935064935064935,2.4156259279758348
2025-04-01,Assam,Jorhat,785001,102.0,0.0,152.0,254.0,0.6710526315789473,1.9978812818574605
2025-04-01,Assam,Jorhat,785112,80.0,0.0,96.0,176.0,0.8333333333333334,1.497566753710466
2025-04-01,Assam,Jorhat,785630,76.0,0.0,195.0,271.0,0.38974358974358975,1.7329791267341572
2025-04-01,Assam,Jorhat,785634,102.0,0.0,209.0,311.0,0.4880382775119617,2.1682721345590523
2025-04-01,Assam,Jorhat,785635,117.0,0.0,141.0,258.0,0.8297872340425532,2.1919849652247314
2025-04-01,Assam,Kamrup,781102,194.0,0.0,758.0,952.0,0.2559366754617414,5.201586673166759
2025-04-01,Assam,Kamrup,781123,87.0,0.0,254.0,341.0,0.3425196850393701,2.075805100171678
2025-04-01,Assam,Kamrup,781136,474.0,0.0,1327.0,1801.0,0.3571966842501884,11.139580287986211
2025-04-01,Assam,Kamrup,781354,195.0,0.0,924.0,1119.0,0.21103896103896103,5.7129450738201095
2025-04-01,Assam,Kamrup,781366,112.0,0.0,348.0,460.0,0.3218390804597701,2.735110755844828
2025-04-01,Assam,Kamrup,781380,117.0,0.0,447.0,564.0,0.26174496644295303,3.1067148060438035
2025-04-01,Assam,Kamrup Metro,781001,80.0,0.0,132.0,212.0,0.6060606060606061,1.6051820291009453
2025-04-01,Assam,Kamrup Metro,781009,72.0,0.0,151.0,223.0,0.4768211920529801,1.5409197114012236
2025-04-01,Assam,Kamrup Metro,781011,67.0,0.0,160.0,227.0,0.41875,1.4921614873736857
2025-04-01,Assam,Kamrup Metro,781012,80.0,0.0,233.0,313.0,0.34334763948497854,1.9071026628353447
2025-04-01,Assam,Kamrup Metro,781020,84.0,0.0,196.0,280.0,0.42857142857142855,1.857027708539701
2025-04-01,Assam,Kamrup Metro,781025,125.0,0.0,338.0,463.0,0.3698224852071006,2.901938935267327
2025-04-01,Assam,Kamrup Metro,781034,67.0,0.0,108.0,175.0,0.6203703703703703,1.3367172006985493
2025-04-01,Assam,Kamrup Metro,782402,81.0,0.0,308.0,389.0,0.262987012987013,2.146433561807208
2025-04-01,Assam,Kamrup Metro,782403,71.0,0.0,282.0,353.0,0.25177304964539005,1.9173873327193238
2025-04-01,Assam,Karbi Anglong,782441,321.0,0.0,609.0,930.0,0.5270935960591133,6.677994894607391
2025-04-01,Assam,Karbi Anglong,782448,208.0,0.0,348.0,556.0,0.5977011494252874,4.187821979047855
2025-04-01,Assam,Karbi Anglong,782450,89.0,0.0,167.0,256.0,0.5329341317365269,1.845999668461417
2025-04-01,Assam,Karbi Anglong,782460,190.0,0.0,242.0,432.0,0.7851239669421488,3.5985714249364325
2025-04-01,Assam,Karbi Anglong,782461,135.0,0.0,114.0,249.0,1.1842105263157894,2.38365686303244
2025-04-01,Assam,Karbi Anglong,782470,178.0,0.0,263.0,441.0,0.6768060836501901,3.479758099347167
2025-04-01,Assam,Karbi Anglong,782480,598.0,0.0,752.0,1350.0,0.7952127659574468,11.297143858247749
2025-04-01,Assam,Karbi Anglong,782482,177.0,0.0,492.0,669.0,0.3597560975609756,4.149178414783793
2025-04-01,Assam,Karimganj,788720,135.0,0.0,350.0,485.0,0.38571428571428573,3.0891347794811357
2025-04-01,Assam,Karimganj,788722,164.0,0.0,184.0,348.0,0.8913043478260869,3.0317486360787296
2025-04-01,Assam,Karimganj,788723,247.0,0.0,207.0,454.0,1.1932367149758454,4.356492751528041
2025-04-01,Assam,Karimganj,788724,297.0,0.0,342.0,639.0,0.868421052631579,5.516670462993914
2025-04-01,Assam,Karimganj,788737,182.0,0.0,163.0,345.0,1.116564417177914,3.2413564131181842
2025-04-01,Assam,Kokrajhar,783350,144.0,0.0,372.0,516.0,0.3870967741935484,3.291091347172823
2025-04-01,Assam,Kokrajhar,783370,420.0,0.0,1081.0,1501.0,0.3885291396854764,9.587059176432902
2025-04-01,Assam,Lakhimpur,784160,137.0,0.0,327.0,464.0,0.41896024464831805,3.0506453929095034
2025-04-01,Assam,Lakhimpur,787031,288.0,0.0,752.0,1040.0,0.3829787234042553,6.606097199987976
2025-04-01,Assam,Lakhimpur,787032,88.0,0.0,596.0,684.0,0.1476510067114094,3.1132826249562604
2025-04-01,Assam,Lakhimpur,787055,201.0,0.0,595.0,796.0,0.3378151260504202,4.820255480729531
2025-04-01,Assam,Marigaon,782105,205.0,0.0,517.0,722.0,0.3965183752417795,4.647618685016954
2025-04-01,Assam,Marigaon,782121,174.0,0.0,694.0,868.0,0.2507204610951009,4.707622456527498
2025-04-01,Assam,Marigaon,782127,209.0,0.0,1218.0,1427.0,0.17159277504105092,6.80365687622613
2025-04-01,Assam,Marigaon,782410,126.0,0.0,294.0,420.0,0.42857142857142855,2.785541562809551
2025-04-01,Assam,Marigaon,782411,379.0,0.0,673.0,1052.0,0.563150074294205,7.746990637097848
2025-04-01,Assam,Nagaon,782120,208.0,0.0,687.0,895.0,0.3027656477438137,5.2011991556415325
2025-04-01,Assam,Nagaon,782124,468.0,0.0,2034.0,2502.0,0.23008849557522124,13.162230272676819
2025-04-01,Assam,Nagaon,782136,100.0,0.0,484.0,584.0,0.2066115702479339,2.9600684488640376
2025-04-01,Assam,Nalbari,781334,76.0,0.0,115.0,191.0,0.6608695652173913,1.4938340703108706
2025-04-01,Assam,North Cachar Hills,788819,115.0,0.0,103.0,218.0,1.116504854368932,2.0481262462736067
2025-04-01,Assam,North Cachar Hills,788830,103.0,0.0,41.0,144.0,2.5121951219512195,1.6811999246451814
2025-04-01,Assam,North Cachar Hills,788831,77.0,0.0,49.0,126.0,1.5714285714285714,1.3116718073366906
2025-04-01,Assam,North Cachar Hills,788931,113.0,0.0,86.0,199.0,1.313953488372093,1.9670431046335959
2025-04-01,Assam,Sibsagar,785640,152.0,0.0,162.0,314.0,0.9382716049382716,2.7843948426619476
2025-04-01,Assam,Sibsagar,785685,244.0,0.0,91.0,335.0,2.681318681318681,3.964335193989181
2025-04-01,Assam,Sibsagar,785686,102.0,0.0,47.0,149.0,2.1702127659574466,1.6840033953018967
2025-04-01,Assam,Sibsagar,785697,81.0,0.0,55.0,136.0,1.4727272727272727,1.3901373208685632
2025-04-01,Assam,Sonitpur,784110,227.0,0.0,516.0,743.0,0.43992248062015504,4.977542360462356
2025-04-01,Assam,Sonitpur,784111,90.0,0.0,133.0,223.0,0.6766917293233082,1.7594954280565516
2025-04-01,Assam,South Salmara Mankachar,783131,151.0,0.0,128.0,279.0,1.1796875,2.667625785107019
2025-04-01,Assam,South Salmara Mankachar,783135,157.0,0.0,230.0,387.0,0.6826086956521739,3.0633301834968987
2025-04-01,Assam,Tinsukia,786125,195.0,0.0,245.0,440.0,0.7959183673469388,3.6832014074274633
2025-04-01,Assam,Tinsukia,786171,171.0,0.0,151.0,322.0,1.1324503311258278,3.0390281603293445
2025-04-01,Assam,Tinsukia,786174,104.0,0.0,107.0,211.0,0.9719626168224299,1.893627004769425
2025-04-01,Assam,Tinsukia,786181,108.0,0.0,82.0,190.0,1.3170731707317074,1.8794238089372737
2025-04-01,Assam,Tinsukia,786182,151.0,0.0,130.0,281.0,1.1615384615384616,2.6736044115176014
2025-04-01,Assam,Tinsukia,786183,67.0,0.0,113.0,180.0,0.5929203539823009,1.3516637667250047
2025-04-01,Assam,Tinsukia,786190,83.0,0.0,0.0,83.0,,1.2559899117276165
2025-04-01,Assam,Udalguri,784114,112.0,0.0,201.0,313.0,0.5572139303482587,2.295681714667039
2025-04-01,Assam,Udalguri,784507,232.0,0.0,139.0,371.0,1.669064748201439,3.9262333249427748
2025-04-01,Assam,Udalguri,784509,285.0,0.0,770.0,1055.0,0.37012987012987014,6.61450761195812
2025-04-01,Assam,Udalguri,784510,72.0,0.0,153.0,225.0,0.47058823529411764,1.5468983378118057
2025-04-01,Assam,Udalguri,784514,118.0,0.0,211.0,329.0,0.5592417061611374,2.4163692981701392
2025-04-01,Assam,Udalguri,784523,78.0,0.0,144.0,222.0,0.5416666666666666,1.610788970414375
2025-04-01,Assam,Udalguri,784525,122.0,0.0,436.0,558.0,0.2798165137614679,3.149494403660759
2025-04-01,Assam,West Karbi Anglong,782485,146.0,0.0,0.0,146.0,,2.209331651954603
2025-04-01,Assam,West Karbi Anglong,782486,284.0,0.0,325.0,609.0,0.8738461538461538,5.2691308270285555
2025-04-01,Bihar,Bhagalpur,812005,641.0,2651.0,1797.0,5089.0,0.14410971223021582,21.330671025051274
